RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder
7.760546884,60.44512726,5.371295797,0.96133161,16.34655377,267.2098202,12.43400412,0.82905862,1cal,1_RF_cal
7.821536695,61.30101354,5.423661587,0.960784077,16.34667903,267.2139152,12.57143875,0.829056001,1cal,1_RF_cal
7.975487256,63.75461723,5.478543889,0.95921444,16.35097502,267.3543841,12.42329969,0.828966139,1cal,1_RF_cal
9.17139715,84.41256154,6.258539867,0.945998992,16.35160903,267.3751177,12.41125217,0.828952875,1cal,1_RF_cal
7.798413957,61.03134207,5.367727152,0.960956593,16.35325214,267.4288556,12.31979129,0.828918497,1cal,1_RF_cal
8.497121917,72.30354862,5.846051313,0.953745456,16.3600738,267.6520147,12.4965766,0.828775736,1cal,1_RF_cal
7.73497579,60.01230748,5.349600593,0.961608497,16.36169074,267.704924,12.38030586,0.828741889,1cal,1_RF_cal
8.265880335,68.52382757,5.59968532,0.956163446,16.37828879,268.2483436,12.24292991,0.828394249,1cal,1_RF_cal
8.257633404,68.51202887,5.66683613,0.956170994,16.38273514,268.3940107,12.46104275,0.828301061,1cal,1_RF_cal
7.723551119,59.83397522,5.332828292,0.961722581,16.3833298,268.4134952,12.28035348,0.828288597,1cal,1_RF_cal
7.866309633,61.99010311,5.402573618,0.960343247,16.38535789,268.479953,12.32129534,0.828246082,1cal,1_RF_cal
8.037816133,64.82433782,5.554162884,0.95853011,16.38624767,268.5091128,12.43053376,0.828227427,1cal,1_RF_cal
7.806330617,61.13717293,5.379773691,0.96088889,16.39240613,268.7109789,12.52314739,0.828098288,1cal,1_RF_cal
8.612500437,74.20132585,5.913679489,0.952531396,16.39404579,268.7647373,12.4727279,0.828063898,1cal,1_RF_cal
7.810173926,61.45867828,5.414851935,0.960683214,16.39874411,268.9188084,12.39557907,0.827965334,1cal,1_RF_cal
7.819812761,61.36126367,5.380981056,0.960745533,16.40062486,268.9804959,12.40776794,0.827925871,1cal,1_RF_cal
7.755049161,60.39219262,5.351193772,0.961365474,16.40138169,269.0053212,12.36437569,0.827909989,1cal,1_RF_cal
7.849171008,61.69201709,5.418893063,0.960533941,16.40509842,269.1272541,12.29803974,0.827831986,1cal,1_RF_cal
8.024889926,64.53210879,5.51191093,0.958717057,16.41064958,269.3094195,12.43802127,0.82771545,1cal,1_RF_cal
8.221211687,67.78263691,5.652052198,0.956637606,16.41090457,269.3177887,12.33763879,0.827710096,1cal,1_RF_cal
7.781689089,60.79804621,5.357288494,0.961105838,16.41395713,269.4179888,12.45950401,0.827645995,1cal,1_RF_cal
8.010956257,64.42470724,5.514693839,0.958785765,16.41500041,269.4522386,12.42489918,0.827624084,1cal,1_RF_cal
7.846941167,61.70232991,5.390444546,0.960527344,16.41522587,269.4596404,12.43998543,0.827619349,1cal,1_RF_cal
7.816206462,61.26995958,5.358643096,0.960803943,16.42778817,269.8722242,12.24508438,0.827355408,1cal,1_RF_cal
7.883891791,62.32614897,5.411493043,0.96012827,16.42980198,269.938393,12.34546371,0.827313078,1cal,1_RF_cal
7.846117774,61.76230298,5.386449792,0.960488977,16.43027248,269.9538536,12.41554823,0.827303188,1cal,1_RF_cal
7.857949586,61.9904434,5.385969259,0.96034303,16.4332686,270.0523168,12.45023582,0.827240198,1cal,1_RF_cal
7.910635007,62.72957843,5.445976952,0.959870185,16.43332718,270.0542423,12.4320159,0.827238966,1cal,1_RF_cal
7.740875313,60.30150468,5.32760671,0.96142349,16.43927076,270.249623,12.36448914,0.827113976,1cal,1_RF_cal
7.782272022,60.83088756,5.360747348,0.961084829,16.44628065,270.4801472,12.53081655,0.826966503,1cal,1_RF_cal
7.751813658,60.32302149,5.342539086,0.961409725,16.44644491,270.4855502,12.48015345,0.826963047,1cal,1_RF_cal
7.772575444,60.57879996,5.36948439,0.961246096,16.44770724,270.5270736,12.43481561,0.826936483,1cal,1_RF_cal
7.803101375,61.07564205,5.35724742,0.960928253,16.44800366,270.5368245,12.23617218,0.826930245,1cal,1_RF_cal
7.799413988,61.1398619,5.361619521,0.96088717,16.45118539,270.6415006,12.37633249,0.826863281,1cal,1_RF_cal
8.039371697,64.97175123,5.511906598,0.958435806,16.45218847,270.6745055,12.25841419,0.826842167,1cal,1_RF_cal
7.755595145,60.46264306,5.339738089,0.961320405,16.45340843,270.7146491,12.33390107,0.826816486,1cal,1_RF_cal
7.764343429,60.4889362,5.362801582,0.961303585,16.45514953,270.771946,12.43277755,0.826779832,1cal,1_RF_cal
8.197453228,67.62785706,5.621687296,0.956736623,16.45920842,270.9055417,12.32112567,0.826694367,1cal,1_RF_cal
7.768227025,60.75776309,5.365266898,0.961131609,16.45932951,270.9095278,12.34289528,0.826691817,1cal,1_RF_cal
7.801041017,61.07168767,5.372886538,0.960930783,16.46135461,270.9761955,12.31433066,0.826649168,1cal,1_RF_cal
7.739812984,60.15218879,5.344430961,0.961519011,16.46455163,271.0814604,12.43078681,0.826581827,1cal,1_RF_cal
7.824452651,61.5418126,5.387177489,0.960630031,16.47573629,271.4498864,12.32543331,0.826346135,1cal,1_RF_cal
8.403153874,70.70860537,5.74564393,0.954765785,16.4766864,271.4811946,12.42508296,0.826326106,1cal,1_RF_cal
7.745752625,60.16932844,5.331515451,0.961508046,16.47682543,271.4857762,12.52927381,0.826323175,1cal,1_RF_cal
8.702752257,75.94881023,5.935170951,0.951413483,16.47728937,271.5010651,12.21986314,0.826313394,1cal,1_RF_cal
7.793304893,60.86171177,5.366087289,0.96106511,16.47820414,271.5312118,12.49132469,0.826294109,1cal,1_RF_cal
7.7751134,60.99908638,5.369570468,0.960977228,16.48035583,271.6021284,12.30603145,0.826248741,1cal,1_RF_cal
7.965446663,63.54480458,5.54508832,0.959348663,16.48263861,271.6773754,12.51928565,0.826200604,1cal,1_RF_cal
7.834814576,61.74062846,5.399817051,0.960502843,16.48792406,271.8516399,12.40130632,0.826089122,1cal,1_RF_cal
7.811413011,61.2187761,5.404123402,0.960836686,16.48922408,271.8945106,12.5331561,0.826061697,1cal,1_RF_cal
7.826821262,61.67757595,5.391245527,0.960543179,16.49024216,271.9280865,12.48742351,0.826040217,1cal,1_RF_cal
8.186025199,67.13372893,5.565012472,0.95705273,16.5006971,272.2730049,12.40595111,0.825819563,1cal,1_RF_cal
7.830495897,61.52422097,5.397004851,0.960641285,16.50174324,272.30753,12.5977814,0.825797477,1cal,1_RF_cal
8.132901516,66.42993832,5.589314652,0.957502964,16.50275683,272.340983,12.54701353,0.825776076,1cal,1_RF_cal
8.248165408,68.17963223,5.645603981,0.956383637,16.50544382,272.4296757,12.38428961,0.825719337,1cal,1_RF_cal
4.827099952,23.81761345,1.828631391,0.984763226,13.72223756,188.2998038,9.933478731,0.879539501,1cal,2_XG_cal
4.6544127,22.45414904,1.720977954,0.985635471,13.84136524,191.5833916,10.11385378,0.877438901,1cal,2_XG_cal
4.753147992,23.26192342,1.688632228,0.985118716,13.94466125,194.4535775,10.05256142,0.875602765,1cal,2_XG_cal
4.459836882,20.3263304,1.219979735,0.986996694,13.95905038,194.8550876,10.03865694,0.875345908,1cal,2_XG_cal
4.826035948,24.08138623,2.370597968,0.984594483,13.95980391,194.8761252,10.39147819,0.87533245,1cal,2_XG_cal
5.176728359,27.45492122,3.065426977,0.982436341,13.99207393,195.778133,10.25936703,0.874755411,1cal,2_XG_cal
4.380634581,19.74881603,1.218649593,0.987366146,14.02599934,196.7286574,10.31898288,0.874147334,1cal,2_XG_cal
4.351906845,19.81771053,1.228566844,0.987322072,14.05435134,197.5247917,10.4351992,0.873638026,1cal,2_XG_cal
4.849544601,23.66787543,2.454897302,0.984859017,14.06168807,197.7310715,10.23083752,0.873506063,1cal,2_XG_cal
4.595859327,21.83242114,1.654930025,0.986033207,14.06538871,197.8351596,10.19240505,0.873439475,1cal,2_XG_cal
4.689000691,22.24984385,2.140551945,0.985766171,14.07973985,198.2390743,10.32680994,0.87318108,1cal,2_XG_cal
4.413349987,20.20745814,1.454602885,0.98707274,14.09773348,198.7460894,10.4902074,0.872856728,1cal,2_XG_cal
4.374253455,20.03070728,1.256187436,0.987185812,14.12037179,199.3848994,10.36621033,0.872448064,1cal,2_XG_cal
