SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM036,123.7795,113.29608888888887,118.2714,120.00623888888887,119.08779444444444,119.64390555555555,117.7273666666666,119.16980555555554,118.01474444444442,117.72037222222217,110.81169999999997
SAM037,190.9025,189.85863888888892,181.93958333333342,186.40776111111117,180.1715722222223,187.43889444444451,189.09562777777788,186.00913333333338,187.17481111111115,191.1166055555556,187.62183333333337
SAM038,198.18425,194.80411666666672,189.2280833333333,186.20742222222225,194.7699666666667,190.83471666666665,193.94570000000004,196.41436666666672,194.4534222222223,185.81837222222214,195.13363888888892
SAM039,128.26475,129.3763777777778,127.53656111111113,131.1794388888889,127.27558333333333,131.80951666666664,126.77365,130.28494444444445,130.66619444444444,130.9847611111111,130.46887777777778
SAM040,155.1605,156.9523333333333,156.9540111111111,157.9296611111111,157.52536666666668,156.56820555555555,154.9870222222222,157.19330555555555,156.7492222222222,156.37952222222222,155.19889999999998
SAM041,148.41975,151.44090555555556,146.0022277777778,152.50846666666672,151.20236111111112,148.15535000000003,148.4135055555556,149.26403333333334,148.69020000000003,150.20506111111115,149.40169444444444
SAM042,154.39325,150.80086111111117,150.10647777777783,151.90442222222222,153.48993888888893,151.3353166666667,145.2713055555556,152.79736111111117,151.3087166666667,149.81843888888895,148.7295777777778
SAM043,144.279,147.2394777777779,147.7810944444445,151.30893888888892,150.37930000000006,151.66367777777785,147.3542166666668,146.55236111111114,149.0024555555556,146.34048333333348,148.61723333333344
SAM044,156.47425,151.90938888888886,153.4986444444445,153.4897944444445,156.03931666666674,155.02892777777788,153.00276666666673,153.76667222222233,153.4825222222223,153.61417777777783,153.40963333333337
SAM045,131.09375,131.8723944444444,132.6281611111111,129.15768333333335,131.03875000000002,132.56915555555557,132.58059444444444,133.20555555555555,132.66422777777774,136.09005000000002,131.45822222222222
SAM046,153.00625,149.23400555555563,151.76620000000008,151.66745555555565,150.70581666666675,150.51743333333343,149.25605555555563,146.40903333333338,148.12612777777784,147.32336666666671,150.4960222222223
