SAMindex,EGsmlie2D,TC_mean,c_interface_mean,SAM_length_mean,Water_all_overlap_factor
SAM100,NC(=O)[C@@H]1CC[C@H](C(=O)[O-])[NH2+]1,116.545,-242.6637306,14.03190806,0.320579227
SAM101,NC(=O)[C@@H]1[C@H]2C=C[C@H](O2)[C@@H]1C(N)=O,120.1215,-169.1962298,14.89471799,0.342044143
SAM102,NN1C(=O)[C@@H]2[C@H]3C=C[C@H](O3)[C@@H]2C1=O,85.48025,-145.1268388,18.23252365,0.326241186
SAM103,NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H](O3)[C@H]2C1=O,93.27825,-142.20476,17.09118406,0.323296446
SAM104,C1CN1c1nnc(N2CC2)nn1,112.58475,-163.4796441,15.71439218,0.297238138
SAM105,C1Cn2nnnc2CN1,81.7565,-104.0676881,13.0873116,0.326210427
SAM106,C1NCNCN1,101.951,-98.47106642,12.08638766,0.301997728
SAM107,C1c2nnnn2Cc2nnnn21,80.298,-99.19026249,15.14930123,0.313879275
SAM108,CC(=O)NCC(O)CNC(C)=O,89.49125,-84.41756244,17.30424482,0.316157521
SAM109,CC(=O)N[C@@H]1COC[C@H]1O,114.55325,-141.5125842,14.76983697,0.292233917
SAM110,CC(=O)N[C@@H]1C[C@H](O)O[C@H](C)[C@H]1O,124.09175,-185.5979049,16.69332568,0.312304693
SAM111,CC(=O)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,122.96725,-152.3462061,16.15984536,0.287669637
SAM112,CN1C[C@H](N)C1=O,155.915,-224.9303976,12.19309525,0.312107441
SAM113,CN1C(=O)C2C(=O)NC(=O)C[C@H]2C1=O,160.09775,-244.7035708,15.31331471,0.304342836
SAM114,CN1C(=O)C2C(=O)NC(=O)C[C@@H]2C1=O,163.98025,-248.4087043,15.35701019,0.295646291
SAM115,CN(CO)CCO,143.1215,-150.8296636,13.11502496,0.295410086
SAM116,CN1C[C@@H](N)C1=O,147.0335,-220.6447734,12.20053992,0.32089926
SAM117,CN1[C@H]2CC(=O)C[C@@H]1[C@H](O)[C@@H]2O,129.51225,-199.1984184,19.18381563,0.287013397
SAM118,OCc1nnc(CO)[nH]1,101.887,-93.5523208,13.97778498,0.331078623
SAM119,C[C@@]1(C(N)=O)CNCCO1,128.84375,-169.7404475,13.68341771,0.325018106
SAM120,C[C@@H]1O[C@H](N)[C@@H](O)[C@H](O)[C@@H]1O,182.95075,-191.7960344,14.34738985,0.321346147
SAM121,NC(N=O)NO,164.298,-134.78206,11.80714999,0.369376933
SAM122,C[C@@H]1O[C@@H](N)[C@@H](O)[C@H](O)[C@@H]1O,183.66,-188.5631172,14.31454097,0.319941325
SAM123,N[C@H]1COCCNC1=O,93.65525,-120.3723352,13.37735169,0.301035321
SAM124,N[C@@H]1COCCNC1=O,79.6345,-115.5888257,13.35426007,0.303947549
SAM125,OC[C@H]1NC[C@@H](O)C(O)[C@@H]1O,169.89175,-180.4103021,15.44753299,0.299013791
SAM126,N[C@H]1C(O)[C@H](O)[C@@H](CO)O[C@H]1O,171.53725,-202.2056761,15.08508816,0.313749526
SAM127,N[C@H]1C(O)[C@H](O)[C@@H](CO)O[C@@H]1O,167.16975,-197.4894096,15.09557284,0.314876266
SAM128,N[C@@H]1C(=O)NC[C@H]1O,172.628,-187.3531454,12.29581986,0.319103915
SAM129,CNC(=O)[C@H](N)[C@H](C)O,80.25675,-73.05349054,14.49068664,0.320136019
SAM130,NC(=O)C(=O)NCc1cnc[nH]1,134.4615,-218.0278118,14.94033245,0.334276655
SAM131,NC(=O)CC1(N)COC1,110.3845,-134.8595515,13.94710243,0.323229371
SAM132,NC(=O)Cc1c[nH]nn1,140.61125,-150.00026,14.02139823,0.349126664
SAM133,NC(=O)[C@@H](N)CN1CCOCC1,69.41875,-119.8868219,15.99566957,0.294583312
SAM134,NC(=O)[C@H](N)CN1CCOCC1,71.48275,-117.1591663,16.00500936,0.299476439
SAM136,N[C@@H](C[NH+](CCO)CCO)C(=O)[O-],117.03475,-311.2234295,23.45460727,0.325541659
SAM137,N[C@@H]1CC[NH2+][C@H]1C(=O)[O-],168.3095,-343.7688634,13.04097655,0.321371421
SAM138,N[C@@H]1C[NH2+]C[C@H]1C(=O)[O-],161.19475,-287.8242897,13.07546666,0.313115094
SAM139,N[C@@H]1C[NH2+]C[C@@H]1C(=O)[O-],170.14725,-299.5892476,13.0908547,0.312452413
SAM140,N[C@@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,172.03425,-187.6981539,14.38173356,0.307866446
SAM141,N[C@@H]1[C@H](NO)O[C@@H](CO)[C@@H](O)[C@@H]1O,169.8835,-204.4050218,18.59415903,0.349313078
