,SAMindex,TC_mean,E_pair_var,c_interface_up_mean,c_interface_dw_mean,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
204,SAM205,115.5685,38600.70543,-165.593085,-99.08308163,0.494137911,0.368977991,11.46733495,86.18,-1.0168,34.6028
205,SAM206,90.3335,38209.90372,-117.6209092,-111.695291,0.565687233,0.352276457,15.57355102,94.04,-1.1121,35.5796
206,SAM207,92.11925,81597.04194,-75.43049513,-101.5537877,0.411289001,0.367337664,10.47053043,55.62,-1.1295,18.9344
207,SAM208,72.40075,70441.3592,-113.4324153,-101.3718873,0.516044179,0.382894247,15.57705783,72.55,-1.1309,34.1272
208,SAM209,82.39825,52694.10783,-123.95427,-112.0824403,0.516044179,0.382894247,15.57705783,72.55,-1.1309,34.1272
209,SAM210,102.63025,49336.936,-167.2192142,-158.876946,0.462827993,0.367888309,11.05045608,72.19,-1.2497,30.3591
210,SAM211,75.88825,49693.29776,-121.8784807,-110.9532021,0.451872695,0.377957403,15.78731903,64.35,-1.5399,31.8041
211,SAM212,78.5635,51641.79712,-115.8450213,-109.2978564,0.516044179,0.382894247,15.57705783,72.55,-1.1309,34.1272
212,SAM213,72.845,49487.12627,-117.834534,-101.4212852,0.516044179,0.382894247,15.57705783,72.55,-1.1309,34.1272
213,SAM214,101.55875,53805.99334,-163.9629175,-160.3975028,0.462827993,0.367888309,11.05045608,72.19,-1.2497,30.3591
214,SAM215,81.5965,63710.69004,-122.8968759,-115.7637113,0.451872695,0.377957403,15.78731903,64.35,-1.5399,31.8041
215,SAM216,97.13125,74459.06932,-75.97254416,-107.0320145,0.411289001,0.367337664,10.47053043,55.62,-1.1295,18.9344
216,SAM217,105.77125,39046.4178,-146.9306129,-116.3641538,0.226904149,0.338214037,0.0,75.43,-1.5881,24.4321
217,SAM218,122.14575,50888.79533,-189.4345357,-149.2645808,0.449192837,0.34977541,10.74258,67.66,-1.3579,30.5344
218,SAM219,97.64725,59225.63332,-205.905284,-190.1105025,0.363890978,0.393750289,20.63637079,89.79,-1.9957,42.3281
219,SAM220,119.04525,53135.18148,-118.8044994,-104.6691592,0.561194669,0.366629048,5.733667477,86.69,-1.1557,32.9104
220,SAM221,107.88575,42385.74376,-162.8914918,-121.4384974,0.478682894,0.319057789,15.95036581,87.3,-1.3217,45.2381
221,SAM222,106.164,66549.57852,-131.9037353,-126.3732255,0.437458201,0.394148922,15.52984339,69.56,-1.5243,31.7763
222,SAM223,88.64575,51859.60024,-79.77237372,-85.78734621,0.56060233,0.349188999,10.63357721,75.27,-1.1723,42.3744
223,SAM224,102.61925,54308.00675,-112.7689275,-102.8664334,0.363887659,0.377429366,16.15698348,75.35,-2.194,27.0139
224,SAM225,150.1165,42157.03225,-415.6605723,-448.4800669,0.447505505,0.549903236,20.11776291,73.67,-3.8605,38.1754
225,SAM226,152.624,36676.69588,-179.6781971,-151.588249,0.35215016,0.394640975,20.42610958,84.16,-2.6246,41.5242
226,SAM227,93.56175,60503.38266,-129.5577546,-119.4872867,0.529319365,0.345659258,15.53348694,61.44,-1.0572,52.7284
227,SAM228,126.06525,46544.59463,-139.5420517,-125.3457917,0.430107309,0.324018621,11.46733495,69.11,-1.5271,23.1158
228,SAM229,194.26725,35746.88832,-189.145082,-201.4283454,0.39853164,0.391245824,16.57386235,89.34,-1.8202,28.8506
229,SAM230,195.95725,41289.32161,-186.44099,-169.3317929,0.39853164,0.391245824,16.57386235,89.34,-1.8202,28.8506
230,SAM231,130.46425,36951.30527,-180.0944303,-157.4140579,0.35215016,0.394640975,20.42610958,84.16,-2.6246,41.5242
231,SAM232,147.03825,44407.87486,-299.8171831,-260.6937838,0.413769857,0.544116479,19.9075017,64.8,-3.7567,28.7135
232,SAM233,172.88625,37441.24254,-426.8490252,-444.1622817,0.413619877,0.548206848,20.53464179,70.59,-3.7919,30.6601
233,SAM234,77.21,76170.70135,-92.55034032,-95.34515519,0.481746887,0.36572142,15.37044016,50.36,-1.2792,36.6764
