,SAMindex,TC_mean,Peak2_frequency,E_pair_var,TotEng_var,c_interface_up_mean,c_interface_dw_mean,SAM_up_length_gm,SAM_dw_length_gm,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
66,SAM067,163.522,37.40141163,40370.83253,182087.748,-179.5291486,-161.9771586,15.43598875,15.44688737,0.304727532,0.393567678,25.16297253,90.15,-2.2839,42.7532
67,SAM068,76.511,43.52887694,66657.80136,235594.837,-70.92761501,-59.91915705,13.41457737,13.86234278,0.339395357,0.285013321,0.0,60.27,-0.26023,27.0551
68,SAM069,155.9785,37.56056657,36500.76591,173693.3766,-166.793905,-147.1746684,15.3976423,15.7707866,0.304727532,0.393567678,25.16297253,90.15,-2.2839,42.7532
69,SAM070,122.08875,44.32465165,44938.60827,195070.646,-166.7929203,-151.9812769,15.40289611,15.57911916,0.484186386,0.353184819,9.531400138,50.36,-1.0757,36.3564
70,SAM071,74.39125,44.00634176,71207.47425,252960.5903,-88.8600278,-72.01008095,13.95110804,14.1140823,0.405081883,0.284835979,0.0,51.48,0.08197,31.6824
71,SAM072,90.64,43.29014452,47810.28868,194223.8961,-133.6543065,-103.8708603,16.63909812,16.72587293,0.46130787,0.39158365,15.7401046,78.43,-1.3805,43.3742
72,SAM073,85.97725,43.21056705,34468.65184,130042.5753,-129.1086101,-79.61317641,16.56976872,16.61536205,0.46130787,0.39158365,15.7401046,78.43,-1.3805,43.3742
73,SAM074,109.71725,43.52887694,70375.79005,251114.7449,-131.19471,-138.9311545,16.26052459,16.34348895,0.4215317,0.547909144,26.05804805,117.1,-3.7677,40.9686
74,SAM075,64.89475,43.13098958,59971.52491,208368.8099,-78.27644711,-68.77627246,15.09883544,15.2559636,0.418183349,0.39158365,15.7401046,78.43,-1.7706,38.7572
75,SAM076,77.432,44.24507418,61196.25572,254070.2226,-68.19690629,-57.06118664,14.90503815,15.18630485,0.464504711,0.35873122,10.63357721,58.2,-1.1315,32.7504
76,SAM077,94.521,44.48380659,54614.43848,211291.3716,-89.33283912,-62.33737381,16.34704333,16.03291293,0.382663493,0.341192509,21.26715442,82.26,-1.1981,40.0498
77,SAM078,116.328,44.48380659,47883.52569,187970.317,-233.606289,-118.9648725,16.96922696,16.51206226,0.373060558,0.380047677,20.846632,98.66,-2.7998,40.147
78,SAM079,105.82,44.32465165,39765.62985,145233.8125,-140.2855665,-112.9754186,14.49432086,14.69924066,0.471682848,0.467783209,15.16017895,58.56,-1.2603,31.9495
79,SAM080,106.954,44.32465165,39170.29679,176246.0012,-144.4346684,-149.8797913,16.1637755,15.97694126,0.317457343,0.467039206,14.79051451,81.7,-1.553,37.0197
