RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder,type
6.606469304,45.63939333,2.814396716,0.97080324,19.23167273,369.8572361,12.9964579,0.76339228,2rdkit,2_XG_cal,single
6.708509462,45.52541533,2.895695798,0.970876155,19.2330667,369.9108548,13.38124292,0.763357979,2rdkit,2_XG_cal,single
6.695288444,45.61368415,2.840448003,0.970819687,19.24842642,370.5019198,13.11837983,0.762979859,2rdkit,2_XG_cal,single
6.802285239,46.66326679,3.267740796,0.970148241,19.25214742,370.6451804,12.89777599,0.762888211,2rdkit,2_XG_cal,single
6.706000823,45.79540485,2.897681601,0.970703436,19.25949204,370.9280337,13.11104482,0.762707262,2rdkit,2_XG_cal,single
7.054470177,50.28336968,3.462829257,0.967832363,19.26007612,370.9505322,13.09616344,0.762692869,2rdkit,2_XG_cal,single
6.647499032,45.63660483,2.832917589,0.970805024,19.26702813,371.2183729,13.21019531,0.762521524,2rdkit,2_XG_cal,single
6.692307115,45.72057907,2.889283004,0.970751304,19.26886753,371.2892558,13.16207292,0.762476178,2rdkit,2_XG_cal,single
7.511120285,56.6374271,4.182321325,0.9637675,19.27790415,371.6375884,13.60549328,0.762253341,2rdkit,2_XG_cal,single
6.703332677,45.73429129,2.936274106,0.970742532,19.28187497,371.7907023,13.26555351,0.762155389,2rdkit,2_XG_cal,single
6.771891988,46.56141781,3.251838415,0.970213396,19.28866656,372.0526577,13.32077262,0.761987809,2rdkit,2_XG_cal,single
6.885945907,48.31866244,3.244028826,0.969089239,19.29072889,372.1322212,13.45822492,0.76193691,2rdkit,2_XG_cal,single
6.880078282,47.88246569,3.486185359,0.969368286,19.31321584,373.0003061,13.54294663,0.761381573,2rdkit,2_XG_cal,single
6.74776277,46.21890026,3.000553373,0.970432514,19.31424148,373.0399239,13.39900159,0.761356228,2rdkit,2_XG_cal,single
6.662412328,45.75389403,2.75057919,0.970729991,19.32266663,373.3654458,13.3770898,0.761147983,2rdkit,2_XG_cal,single
6.716992217,45.88193005,2.838180184,0.970648083,19.32424868,373.4265871,12.92286748,0.761108869,2rdkit,2_XG_cal,single
6.730632907,45.85671683,2.829198253,0.970664213,19.33838966,373.9733147,13.4901277,0.760759113,2rdkit,2_XG_cal,single
6.932385774,49.26553113,3.753787414,0.968483502,19.35582626,374.6480102,13.29416476,0.760327492,2rdkit,2_XG_cal,single
6.758045746,46.68697519,2.957431993,0.970133074,19.3665034,375.0614541,13.22848143,0.760063001,2rdkit,2_XG_cal,single
6.710144223,45.9725916,2.749704409,0.970590084,19.36918184,375.165205,12.98920615,0.759996628,2rdkit,2_XG_cal,single
6.655914529,45.9056005,2.774297762,0.970632941,19.36941206,375.1741235,13.05261263,0.759990923,2rdkit,2_XG_cal,single
6.667514679,46.06826837,2.813833283,0.970528877,19.38807175,375.8973262,12.86968361,0.759528271,2rdkit,2_XG_cal,single
7.131246207,51.34950281,3.648562103,0.967150328,19.38808743,375.8979343,12.9339757,0.759527882,2rdkit,2_XG_cal,single
