RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder,type
17.72474237,322.682605,13.74317838,0.793571173,28.3411509,803.2208341,21.56455432,0.486157816,2rdkit,4_MLP_cal,single
14.92643957,232.8132346,10.94609424,0.85106305,28.35670859,804.1029221,20.23673599,0.48559352,2rdkit,4_MLP_cal,single
16.02386408,267.0784509,11.99089368,0.829142661,28.37070133,804.8966942,20.74166041,0.485085723,2rdkit,4_MLP_cal,single
13.63481831,188.8026803,9.188371773,0.879217797,28.37078423,804.9013978,19.6858409,0.485082714,2rdkit,4_MLP_cal,single
14.37244446,211.3713948,10.09156567,0.864779978,28.38877459,805.9225225,20.21349402,0.484429472,2rdkit,4_MLP_cal,single
14.90757657,228.1019011,10.60923716,0.854077018,28.39540516,806.2990339,19.83925504,0.484188608,2rdkit,4_MLP_cal,single
13.94297021,198.7817617,9.580707907,0.872833908,28.39671417,806.3733756,19.69149051,0.484141049,2rdkit,4_MLP_cal,single
15.20340171,242.1578652,10.86408443,0.845085036,28.43653073,808.6362799,20.64257869,0.482693408,2rdkit,4_MLP_cal,single
14.84034534,224.1782586,10.52609697,0.856587079,28.44043815,808.8585224,19.77517416,0.482551234,2rdkit,4_MLP_cal,single
15.16611989,236.667792,10.96151268,0.848597185,28.45568744,809.7261477,19.91990164,0.48199619,2rdkit,4_MLP_cal,single
13.56512951,188.7567857,9.061628713,0.879247157,28.46591841,810.3085107,18.87883077,0.481623637,2rdkit,4_MLP_cal,single
16.47082093,272.7652338,12.24100687,0.825504671,28.48606993,811.4561799,20.19092832,0.480889442,2rdkit,4_MLP_cal,single
16.45409239,280.6847854,12.22323688,0.820438319,28.50893026,812.7591045,20.97857117,0.480055925,2rdkit,4_MLP_cal,single
16.33501102,283.6228398,12.01877164,0.818558766,28.50978872,812.8080529,20.09942677,0.480024612,2rdkit,4_MLP_cal,single
13.82748172,195.6895144,9.506308273,0.874812102,28.51482149,813.0950446,19.84190389,0.479841015,2rdkit,4_MLP_cal,single
14.90427803,226.1191926,10.68531745,0.855345411,28.52056384,813.4225617,19.17959073,0.479631494,2rdkit,4_MLP_cal,single
16.46729338,285.2425856,11.72256258,0.81752257,28.52596148,813.7304786,20.67787781,0.479434511,2rdkit,4_MLP_cal,single
15.65649567,250.4480492,11.50817317,0.83978158,28.52857544,813.8796168,20.12868477,0.479339103,2rdkit,4_MLP_cal,single
14.88108482,233.6691796,10.61319271,0.850515479,28.53906886,814.4784511,20.0456937,0.478956013,2rdkit,4_MLP_cal,single
14.6947876,221.6209291,10.5166915,0.858223072,28.56357732,815.8779493,20.2417603,0.478060716,2rdkit,4_MLP_cal,single
15.13575958,235.7902155,11.02800389,0.849158595,28.58743945,817.2416943,20.66145443,0.477188291,2rdkit,4_MLP_cal,single
15.89688058,258.506634,11.56387497,0.834626285,28.60311275,818.1380588,20.62621172,0.476614862,2rdkit,4_MLP_cal,single
17.39281151,313.8552288,13.21101321,0.799218285,28.60933622,818.4941189,20.9747114,0.476387081,2rdkit,4_MLP_cal,single
16.30802549,271.6006506,12.1918769,0.826249687,28.61434715,818.7808631,21.09694377,0.476203643,2rdkit,4_MLP_cal,single
15.45755593,244.2615541,11.40283696,0.843739249,28.63025645,819.6915845,20.40017748,0.475621029,2rdkit,4_MLP_cal,single
9.902370319,100.4035621,5.843093268,0.935769114,25.93138253,672.4366001,17.24705246,0.569824043,3mol2vec,4_MLP_cal,single
10.29836984,108.5259978,6.104563954,0.930572972,26.10906858,681.6834623,17.2723312,0.563908574,3mol2vec,4_MLP_cal,single
9.489954622,94.48414506,5.159079181,0.939555926,26.24309473,688.7000208,16.89386585,0.559419891,3mol2vec,4_MLP_cal,single
10.20309843,107.8732804,5.951199338,0.930990533,26.29814154,691.5922485,16.71016731,0.557569654,3mol2vec,4_MLP_cal,single
10.46555854,113.7855982,6.213109713,0.927208262,26.5201619,703.3189871,16.50706243,0.550067741,3mol2vec,4_MLP_cal,single
9.634940058,96.16442963,5.234952642,0.938481002,26.54774271,704.7826431,16.5148283,0.5491314,3mol2vec,4_MLP_cal,single
10.06414159,103.3121006,5.615031122,0.933908443,26.58212781,706.6095189,16.98771644,0.547962698,3mol2vec,4_MLP_cal,single
10.48151809,111.8046586,6.027617353,0.928475523,26.62062714,708.6577891,17.56041715,0.546652364,3mol2vec,4_MLP_cal,single
10.54419616,113.2373706,6.337069173,0.927558978,26.65714045,710.6031369,17.70550946,0.545407872,3mol2vec,4_MLP_cal,single
10.20193012,107.9436647,5.807292193,0.930945506,26.76107182,716.1549647,17.14066225,0.541856217,3mol2vec,4_MLP_cal,single
10.1211108,104.1203209,5.595617736,0.933391403,26.76255147,716.2341614,17.5433327,0.541805553,3mol2vec,4_MLP_cal,single
9.880962716,100.7624998,5.535276941,0.935539492,26.76592206,716.4145835,17.74665608,0.541690132,3mol2vec,4_MLP_cal,single
11.19250321,129.1196806,7.1191824,0.917398633,26.77037322,716.6528823,17.41130303,0.541537686,3mol2vec,4_MLP_cal,single
10.09700892,105.2539304,5.669016111,0.932666202,26.77670469,716.9919139,17.43446126,0.541320798,3mol2vec,4_MLP_cal,single
9.840868635,100.6078324,5.489472322,0.935638437,26.78452708,717.4108906,17.21763601,0.541052767,3mol2vec,4_MLP_cal,single
9.970904403,101.5131106,5.521357746,0.935059306,26.80398491,718.4536072,17.34625912,0.540385713,3mol2vec,4_MLP_cal,single
10.5799939,115.1919018,6.248945818,0.926308612,26.8455495,720.6835281,17.70170887,0.538959172,3mol2vec,4_MLP_cal,single
10.67163995,114.9310676,6.544137511,0.926475474,26.91485947,724.4096601,17.71587918,0.536575465,3mol2vec,4_MLP_cal,single
10.26608032,107.2118245,5.941951525,0.931413684,26.95458908,726.5498726,17.65291708,0.535206312,3mol2vec,4_MLP_cal,single
10.11346895,103.7195466,5.442568911,0.933647789,26.96681315,727.2090115,16.84925163,0.534784643,3mol2vec,4_MLP_cal,single
10.25410716,110.7117447,5.981452645,0.92917469,26.96924907,727.3403956,17.83049602,0.534700593,3mol2vec,4_MLP_cal,single
