SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM091,111.3995,111.382545,111.455635,111.32422,122.17082,111.40275,111.34272,111.395256,111.40997,111.44164,111.38902
SAM092,108.452,108.47615,108.67495,108.55081,108.46471,108.658875,108.4844,108.41319,108.4939,122.35037,108.48867
SAM093,66.9665,66.88976,67.033585,66.99486,66.90117,68.36192,67.039894,66.940765,66.908905,66.81246,66.85576
SAM094,90.41975,90.34611,90.59078,90.49605,90.52,90.643265,90.467094,90.47513,109.29742,90.93411,90.42155
SAM095,112.95075,104.85493,112.73659,112.852974,112.89591,112.79629,112.84021,112.957855,112.892365,112.93724,112.886
SAM096,101.59725,101.67077,101.59485,101.588844,101.660774,101.5998,101.65907,101.717155,101.68584,101.56003,140.09709
SAM097,63.84375,63.839287,63.81988,63.811623,63.843758,63.872177,63.83356,63.86219,66.45572,63.831676,63.90176
SAM098,59.67675,59.587944,59.580505,59.672535,59.664444,59.62669,59.641735,59.666687,59.627167,72.79549,59.597588
SAM099,74.7025,74.71233,96.38465,74.68347,74.72204,74.69076,74.728546,74.715004,74.721375,74.692696,74.75378
SAM100,116.545,116.5323,116.770775,116.27411,116.46687,149.757,116.43053,116.6646,116.39012,116.498146,116.50902
SAM101,120.1215,128.26155,120.14627,120.10906,120.12391,120.15033,120.11666,120.05731,120.171616,120.12139,120.107704
SAM102,85.48025,85.48527,85.3787,85.52856,85.482315,85.44199,100.89316,85.541084,85.51122,85.50372,85.53141
SAM103,93.27825,93.3281,93.3269,93.26845,93.349686,93.38138,93.308426,93.29922,93.58389,93.27877,111.489075
SAM104,112.58475,112.69577,112.587204,112.56587,112.64625,112.566666,112.58597,112.61895,112.59746,115.5339,112.65282
SAM105,81.7565,81.734634,81.79252,81.78419,81.741646,81.73313,80.821495,81.781105,81.794914,81.74639,81.80021
SAM106,101.951,101.99496,101.84192,101.78519,101.83921,102.03131,101.60728,101.87448,101.85184,102.038536,101.81235
SAM107,80.298,98.12259,80.34256,80.181274,80.319336,80.2779,80.34472,80.201004,80.330826,80.265236,80.23163
SAM108,89.49125,89.51575,89.48099,89.47707,89.488304,89.49154,89.509995,89.48322,89.521034,89.50276,89.761154
SAM109,114.55325,114.52775,114.558784,114.53323,114.52152,114.478096,114.519035,114.57987,124.949974,114.50212,114.549164
SAM110,124.09175,124.078735,124.11093,124.08003,124.10135,124.10696,133.29816,124.06031,124.068306,124.07505,124.097404
SAM111,122.96725,122.96349,122.96892,122.93385,122.97617,122.97713,122.993866,122.97122,123.04439,122.962265,130.37001
SAM112,155.915,155.82817,155.58693,154.81575,155.75397,155.60724,146.37076,155.63812,155.31833,155.84973,155.76405
SAM113,160.09775,160.07512,160.10332,160.07756,160.13985,160.08075,160.25493,160.08499,163.67229,160.15152,160.12427
SAM114,163.98025,164.01854,164.05739,163.97093,163.94118,163.99187,163.9945,164.02986,164.02621,163.94595,151.07014
SAM115,143.1215,143.09256,143.09695,143.23367,143.08284,143.1024,140.54198,143.13719,143.12566,143.09183,143.06955
SAM116,147.0335,162.6451,147.45122,148.36562,147.32625,147.7403,147.0943,147.86647,147.48535,147.26682,147.23904
SAM117,129.51225,129.38042,129.62506,129.45554,129.49136,129.40623,129.59799,131.09525,129.51399,129.51416,129.50647
SAM118,101.887,99.047,101.859085,101.95242,101.88073,101.92298,101.87237,101.90157,101.85266,101.92622,101.93869
SAM119,128.84375,128.85103,122.85353,128.91733,128.80638,128.80367,128.90051,128.87057,128.85335,128.80202,128.79985
SAM120,182.95075,182.85945,182.8024,182.8201,182.98312,182.95763,182.97383,183.0432,182.92323,182.92943,163.87103
SAM121,164.298,164.8577,164.44023,164.67056,164.7662,165.15321,164.38638,164.25798,164.36502,164.39128,164.49484
SAM122,183.66,174.38829,183.64633,183.662,183.59248,183.57942,183.67725,183.5539,183.64243,183.6897,183.53687
SAM123,93.65525,93.52272,93.61201,93.62969,94.145645,93.59086,93.57373,93.6266,93.549736,93.600555,93.60212
SAM124,79.6345,79.67381,79.66008,79.68578,79.66199,79.6976,79.718956,91.57667,79.6627,79.6677,79.72335
SAM125,169.89175,166.00705,169.92271,169.90997,169.89627,170.07614,169.8876,169.7906,170.0544,169.79526,169.84952
SAM126,171.53725,171.41977,171.3834,171.49434,171.50891,171.39684,171.40594,167.9788,171.55937,171.4313,171.46616
SAM127,167.16975,167.24951,167.20718,167.19238,167.11218,167.3089,167.25377,167.27396,167.25204,167.24266,167.30548
SAM128,172.628,172.67453,172.54163,172.56258,172.67964,172.61523,172.54997,172.61366,172.69347,172.6793,172.62917
SAM129,80.25675,80.41106,80.21014,80.21116,79.8804,80.191154,80.23482,80.14327,80.1682,80.16311,80.27787
SAM130,134.4615,134.59143,134.47595,134.49738,134.5515,134.49399,134.70337,134.6306,134.50688,167.49152,134.54295
SAM131,110.3845,110.40428,110.33633,110.387215,106.327034,110.35758,110.389,110.39325,110.34801,110.42549,110.42066
SAM132,140.61125,140.60237,140.62486,140.66417,140.62549,140.57347,140.57706,140.61052,140.57458,138.12398,140.60133
SAM133,69.41875,69.45742,69.49627,69.518036,69.4876,69.50907,69.45384,69.51316,78.3011,69.538284,69.462814
SAM134,71.48275,71.44986,71.41115,71.37328,71.41941,71.370735,71.479965,71.447174,71.47125,71.387505,71.89357
SAM135,220.519,218.4992,219.77556,168.07681,217.99983,214.40079,218.7219,216.71762,218.67567,218.48291,215.18929
SAM136,117.03475,118.00879,118.983925,118.58303,117.59189,117.80518,145.6151,118.38365,117.93935,117.28717,117.13664
SAM137,168.3095,168.58629,168.26884,168.33667,168.53409,168.45744,168.36989,168.01976,168.26404,183.66624,168.4505
SAM138,161.19475,161.06607,161.07263,161.11923,161.27136,161.11902,161.0263,158.2463,160.96822,161.1571,161.33041
SAM139,170.14725,170.2988,169.90094,170.12521,169.86595,170.41216,170.10733,158.87717,170.49474,170.2166,170.3247
SAM140,172.03425,172.0734,171.78917,171.96873,172.01382,171.91098,172.00804,171.92859,171.98816,172.01532,169.40335
SAM141,169.8835,169.78993,173.01793,169.92404,170.19495,169.74364,169.78279,169.82214,170.15947,169.84851,169.88193
