SAMindex,EGsmlie2D,Category,kinds
SAM250,OCCN1CCN(CCO)CC1,"1Alcohol, 6Amine",2
SAM251,O[C@H]1CNCCO1,"1Alcohol, 6Amine, 8Ether",3
SAM252,CC(=O)NCCN[C@@H]1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3
SAM253,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"1Alcohol, 6Amine",2
SAM254,CNC(=O)NC[C@H]1COCCN1,"6Amine, 7Amide, 8Ether",3
SAM255,CNC1(C(N)=O)CNC1,"5Ketone, 6Amine, 7Amide",3
SAM256,OCCNC1COC1,"1Alcohol, 6Amine, 8Ether",3
SAM257,COCCN[C@@H]1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM258,CC(=O)NCCN[C@H]1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3
SAM259,NC(=O)c1nc(N)nc2[nH]cnc12,"6Amine, 7Amide",2
SAM260,CC(=O)NCSC[C@H](N)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM261,CC(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM262,CNC(=O)CCNC(=O)CN(C)C,"5Ketone, 6Amine, 7Amide",3
SAM263,CC(=O)N[C@H](Cc1cnc[nH]1)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM264,CNC(=O)[C@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM265,C[NH2+][C@@H](CN)C(=O)[O-],"5Ketone, 6Amine",2
SAM266,COC(=O)C1(N)CNC1,"3Ester, 5Ketone, 6Amine, 8Ether",4
SAM267,COCCN[C@H]1CC(=O)NC1=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM268,COC[C@@H](N)C(N)=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM269,COC[C@H](N)C(N)=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM270,C[C@@H](NC(=O)CN)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM271,C[C@@H](O)[C@@H](N)C(N)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM272,C[C@@]1(C(=O)NCCO)CNCCO1,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5
SAM273,C[C@@H](O)[C@H](N)C(N)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM274,Cn1c(CN)n[nH]c1=O,6Amine,1
SAM275,NC(=O)[C@H](N)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM276,NC(=O)[C@@H](N)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM277,NC(=O)C(=O)N1CCNCC1,"5Ketone, 6Amine, 7Amide",3
SAM278,NC(=O)CCN1CCN(C=O)CC1,"5Ketone, 6Amine, 7Amide",3
SAM279,NC(=O)CN1CCC[C@H](C(N)=O)C1,"5Ketone, 6Amine, 7Amide",3
SAM280,NC(=O)C[C@@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM281,NC(=O)C[C@H]1COCCN1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM282,NC(=O)[C@@H]1Cc2nc[nH]c2CN1,"5Ketone, 6Amine, 7Amide",3
SAM283,NC(=O)[C@@H]1CNCCC1=O,"5Ketone, 6Amine, 7Amide",3
SAM284,NC(=O)[C@@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM285,NC(=O)[C@@]1(N)CCOC1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM286,NC(=O)[C@H]1CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM287,NC(=O)[C@]1(N)CCOC1,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM288,NC(=O)[C@H]1Cc2nc[nH]c2CN1,"5Ketone, 6Amine, 7Amide",3
SAM289,NC(=O)[C@H]1CNCCC1=O,"5Ketone, 6Amine, 7Amide",3
SAM290,NCc1nc(N)n[nH]1,6Amine,1
SAM291,NCc1nc(N)nc(N)n1,6Amine,1
SAM292,N[C@@H]1CC[NH2+][C@@H]1C(=O)[O-],"5Ketone, 6Amine",2
SAM293,N[C@@H]1C[NH2+][C@H](C(=O)[O-])C1,"5Ketone, 6Amine",2
SAM294,N[C@@H]1C[NH2+][C@@H](C(=O)[O-])C1,"5Ketone, 6Amine",2
SAM295,N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,"1Alcohol, 6Amine, 8Ether",3
SAM296,N[C@H]1C[NH2+][C@H](C(=O)[O-])C1,"5Ketone, 6Amine",2
SAM297,CNC(=O)NC[C@@H]1COCCN1,"6Amine, 7Amide, 8Ether",3
SAM298,NC(=O)c1nc[nH]n1,"6Amine, 7Amide",2
SAM299,NC(=O)c1nc(N)nc2c1CNCC2,"6Amine, 7Amide",2
SAM300,CNC(=O)[C@@H](N)[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
