SAMindex,TC_mean,log10(-c_interface_mean),c_interface_mean_to1,SAM_length_gm_mean_to1,Water_bending_overlap_factor_to1,Water_stretching_overlap_factor_to1,5X0,5X1,9X2,12X3
SAM259,147.1855,2.367491071,0.849527402,0.339076988,0.192434372,0.516138321,-4.010046017,-2.152621548,0.653765413,0.357612102
SAM260,161.81775,2.26104685,0.891507841,0.529032832,0.501085328,0.210822177,-4.821757516,-2.693239144,1.730331998,0.632606734
SAM261,106.74475,1.97779504,0.963923662,0.491581321,0.475838951,0.268964584,-7.408645644,-3.79538407,2.909040664,1.086288579
SAM262,56.32275,1.865810111,0.98181876,0.582531438,0.099804026,0.157931745,-8.540997809,-4.580736177,3.671022549,1.316911665
SAM263,121.72925,2.097332907,0.9389772,0.514952303,0.43118762,0.262460207,-6.252974114,-3.280143158,2.356674546,0.899177097
SAM264,88.4485,2.03053281,0.953758322,0.364476427,0.072522391,0.268477093,-6.889767589,-3.414771104,2.315267149,0.942926125
SAM265,143.39175,2.350334275,0.857008176,0.165456023,0.528976441,0.679127756,-4.134060592,-2.034261862,0.692765538,0.208735846
SAM266,105.022,2.065538062,0.946296315,0.29632432,0.407084207,0.185948752,-6.55287452,-3.193125168,2.193092157,0.836546173
SAM267,137.77775,2.374909652,0.846200072,0.449858729,0.288321163,0.144891332,-3.957245494,-2.239623455,1.019782202,0.359144113
SAM268,171.327,2.265448621,0.889968104,0.256028758,0.528633412,0.191258226,-4.786223452,-2.405295045,1.309205642,0.416310259
SAM269,164.4095,2.254104566,0.893904754,0.22654009,0.489953655,0.19268452,-4.878135756,-2.414404176,1.261384536,0.402121348
SAM270,109.47,2.01724783,0.956436488,0.221144295,0.636147486,0.133924789,-7.019287061,-3.332491869,2.313090655,0.862912308
SAM271,186.62825,2.345967782,0.858865361,0.218040205,0.538025322,0.182649743,-4.166046309,-2.100973903,0.895796326,0.172600945
SAM272,79.8305,2.192276634,0.91364313,0.748252495,0.138268506,0.273318077,-5.397878461,-3.152701642,2.028040753,0.828638262
SAM273,210.4105,2.345670159,0.858991269,0.21807616,0.534337068,0.198122644,-4.168232708,-2.101973805,0.894298615,0.178003354
SAM274,145.427,2.303887474,0.875837861,0.368729007,0.254127898,0.432852605,-4.483033643,-2.389341078,1.166391371,0.485035011
SAM275,154.62575,2.221081971,0.904796023,0.130377518,0.246197419,0.188933815,-5.151848788,-2.432505219,0.791865183,0.292454955
SAM276,152.52825,2.207444955,0.909057597,0.12432712,0.248340883,0.22406208,-5.267496596,-2.474561379,0.835137289,0.316515569
SAM277,84.62875,2.070999217,0.945076974,0.333159406,0.232445026,0.300538074,-6.500930856,-3.206870511,2.170062139,0.856452258
SAM278,143.44975,2.421728405,0.823837664,0.54666106,0.078109321,0.142417702,-3.635525021,-2.187683668,0.235710127,0.324523394
SAM279,153.3895,2.249646703,0.895423809,0.515979854,0.246338839,0.198599187,-4.914553366,-2.719098479,1.629637673,0.64490821
SAM280,61.3245,1.920125545,0.973713937,0.349895742,0.072837632,0.357603404,-7.988039547,-3.975322853,2.974844577,1.136797332
SAM281,56.52975,1.888954223,0.978488765,0.366032234,0.076959017,0.339719808,-8.304797088,-4.194358873,3.229104705,1.205435216
SAM282,130.57225,2.292217772,0.880260637,0.380025616,0.324109145,0.350812751,-4.573718841,-2.439372518,1.310198874,0.503689997
SAM283,88.1515,2.059088497,0.947716737,0.303055158,0.117788869,0.323864235,-6.614440723,-3.227404474,2.093429541,0.858754881
SAM284,77.6795,1.954489622,0.96803725,0.272677096,0.068802967,0.330695173,-7.641529791,-3.699662826,2.595126498,1.029005342
SAM285,84.96375,2.093497331,0.939888826,0.169205566,0.146786446,0.192654525,-6.288822754,-2.949928386,1.55106983,0.653796279
SAM286,77.53575,1.960714254,0.966960068,0.276985801,0.072266338,0.312975489,-7.579143449,-3.670272184,2.567793206,1.019512805
SAM287,79.212,2.091521185,0.940355376,0.168816829,0.150826894,0.200114137,-6.307328774,-2.957576957,1.566431063,0.657854006
SAM288,132.676,2.308489805,0.874060655,0.379034318,0.31858829,0.316575282,-4.447598406,-2.384441271,1.232541799,0.46784601
SAM289,85.12325,2.056495695,0.948281845,0.299069535,0.11535506,0.335260589,-6.639257426,-3.234581672,2.096605257,0.861085404
SAM290,154.91075,1.973737529,0.964655807,0.160713941,0.102900564,0.489394693,-7.449050807,-3.485397105,2.18232049,0.898187687
SAM291,143.9275,2.089978403,0.940718139,0.273496717,0.113042703,0.682743178,-6.321793451,-3.068548368,1.852792194,0.801204648
SAM292,169.6565,2.498764171,0.781368147,0.183371449,0.492041228,0.525180427,-3.14927945,-1.582917786,0.026187099,0.129270384
SAM293,184.703,2.61644026,0.700049974,0.213889399,0.499042167,0.55274235,-2.507201152,-1.245020003,-0.50775917,0.307232143
SAM294,184.987,2.6151528,0.701064119,0.22036627,0.483894894,0.503775058,-2.513592377,-1.255564621,-0.517724125,0.33810436
SAM295,164.41975,2.236828195,0.899705941,0.225160742,0.056447655,0.273634256,-5.020202351,-2.472431275,0.479534697,0.449382853
SAM296,183.9305,2.640844907,0.680246487,0.219960775,0.492260446,0.541990701,-2.388603807,-1.173693632,-0.676319259,0.356507458
SAM297,76.0695,2.063557555,0.946734739,0.515415772,0.081634491,0.410882242,-6.57175476,-3.420643363,2.361848751,0.95796628
SAM298,145.1265,2.108602109,0.936251724,0.164420757,0.175685002,0.122828148,-6.148194548,-2.884479228,1.485401925,0.608940829
SAM299,89.19175,2.041777551,0.951426549,0.401867042,0.147790241,0.484818888,-6.780831002,-3.401752123,2.381340518,0.949072559
SAM300,84.56275,1.881895326,0.979523278,0.30221832,0.209677422,0.169083928,-8.376765403,-4.180358067,3.219245943,1.189766063
